url,stage,error
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=G2&dpt_code=T010&ser_no=97119&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=002%2050780&class=G2&dpt_code=T010&ser_no=97119&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF8179D0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=Q01%20U0770&class=&dpt_code=Q010&ser_no=86525&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=Q01%20U0770&class=&dpt_code=Q010&ser_no=86525&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF838B50>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=249%20D1050&class=&dpt_code=2490&ser_no=30111&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=249%20D1050&class=&dpt_code=2490&ser_no=30111&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF838910>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=749%20M1660&class=&dpt_code=7490&ser_no=15523&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=749%20M1660&class=&dpt_code=7490&ser_no=15523&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF76A0E0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=902%2043500&class=02&dpt_code=9020&ser_no=34642&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=902%2043500&class=02&dpt_code=9020&ser_no=34642&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF78E8F0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=749%20M0150&class=&dpt_code=7490&ser_no=13291&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=749%20M0150&class=&dpt_code=7490&ser_no=13291&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF8394B0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=247%20U2280&class=&dpt_code=2470&ser_no=30009&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=247%20U2280&class=&dpt_code=2470&ser_no=30009&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF838AF0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=625%20U1750&class=&dpt_code=6050&ser_no=44488&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=625%20U1750&class=&dpt_code=6050&ser_no=44488&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF838FD0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=546%20M3330&class=&dpt_code=5460&ser_no=58428&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=546%20M3330&class=&dpt_code=5460&ser_no=58428&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF838E50>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=902%2043500&class=01&dpt_code=9020&ser_no=17284&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=902%2043500&class=01&dpt_code=9020&ser_no=17284&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF78FEB0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=946%20U0020&class=&dpt_code=0000&ser_no=74433&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=946%20U0020&class=&dpt_code=0000&ser_no=74433&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF817340>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=724%20M1220&class=&dpt_code=7240&ser_no=44025&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=724%20M1220&class=&dpt_code=7240&ser_no=44025&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF8140A0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=227%20U3130&class=&dpt_code=2070&ser_no=59461&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=227%20U3130&class=&dpt_code=2070&ser_no=59461&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF838CA0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=922%20U4890&class=&dpt_code=9220&ser_no=20854&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=922%20U4890&class=&dpt_code=9220&ser_no=20854&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF34E950>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=701%2034500&class=&dpt_code=7012&ser_no=68641&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=701%2034500&class=&dpt_code=7012&ser_no=68641&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF817FD0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20D0170&class=&dpt_code=7410&ser_no=89033&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20D0170&class=&dpt_code=7410&ser_no=89033&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF72B640>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20M3340&class=&dpt_code=7410&ser_no=21490&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20M3340&class=&dpt_code=7410&ser_no=21490&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF72B670>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=701%2030200&class=02&dpt_code=7011&ser_no=84241&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=701%2030200&class=02&dpt_code=7011&ser_no=84241&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF839840>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=701%2030200&class=01&dpt_code=7011&ser_no=82216&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=701%2030200&class=01&dpt_code=7011&ser_no=82216&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF7F7EB0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20M1300&class=02&dpt_code=7410&ser_no=79047&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20M1300&class=02&dpt_code=7410&ser_no=79047&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF7F4310>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20M1300&class=01&dpt_code=7410&ser_no=44345&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20M1300&class=01&dpt_code=7410&ser_no=44345&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF8399F0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20M1300&class=04&dpt_code=7230&ser_no=81806&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20M1300&class=04&dpt_code=7230&ser_no=81806&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF817940>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=705%2023200&class=&dpt_code=7050&ser_no=48718&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=705%2023200&class=&dpt_code=7050&ser_no=48718&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFEBC3BB0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20M1300&class=03&dpt_code=7230&ser_no=25673&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20M1300&class=03&dpt_code=7230&ser_no=25673&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF769F00>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=749%20M0130&class=&dpt_code=7490&ser_no=65690&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=749%20M0130&class=&dpt_code=7490&ser_no=65690&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF7B0190>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20M1100&class=&dpt_code=7410&ser_no=11647&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20M1100&class=&dpt_code=7410&ser_no=11647&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF78C6A0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=H01%2006700&class=&dpt_code=0000&ser_no=47572&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=H01%2006700&class=&dpt_code=0000&ser_no=47572&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF78FD60>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=302%2023500&class=&dpt_code=3020&ser_no=72766&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=302%2023500&class=&dpt_code=3020&ser_no=72766&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF78C550>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=322%20M4540&class=&dpt_code=3220&ser_no=66332&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=322%20M4540&class=&dpt_code=3220&ser_no=66332&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF817490>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=741%20D3430&class=&dpt_code=7410&ser_no=46324&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=741%20D3430&class=&dpt_code=7410&ser_no=46324&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF7F7D00>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=P63%2010050&class=&dpt_code=P630&ser_no=33842&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=P63%2010050&class=&dpt_code=P630&ser_no=33842&semester=113-1&lang=CH (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013DFF78E7A0>: Failed to resolve 'nol.ntu.edu.tw' ([Errno 11001] getaddrinfo failed)""))"
